asset_id,hostname,asset_type,ip_address,os,criticality,environment,status
1,asset-0001,Workstation,10.237.23.50,Debian 12,Critical,Production,Maintenance
2,asset-0002,Firewall,10.102.110.41,RHEL 9,Critical,Staging,Offline
3,asset-0003,Firewall,10.48.97.202,Ubuntu 22.04,Low,Staging,Online
4,asset-0004,Workstation,10.144.142.168,Debian 12,Low,Production,Offline
5,asset-0005,Web Server,10.198.175.34,RHEL 9,Medium,Staging,Online
6,asset-0006,Load Balancer,10.131.71.16,RHEL 9,Critical,DMZ,Offline
7,asset-0007,Web Server,10.139.194.236,Alpine Linux,Medium,Development,Maintenance
8,asset-0008,Firewall,10.187.207.101,CentOS 8,Low,Production,Online
9,asset-0009,Workstation,10.111.225.86,Windows 11,High,Production,Online
10,asset-0010,Database Server,10.96.116.142,Debian 12,High,Production,Maintenance
11,asset-0011,Firewall,10.69.170.81,Debian 12,Low,Development,Online
12,asset-0012,Firewall,10.155.218.250,FreeBSD 14,Medium,Staging,Maintenance
13,asset-0013,Load Balancer,10.197.180.91,Amazon Linux 2,Critical,Development,Online
14,asset-0014,Router,10.42.1.205,Alpine Linux,Critical,DMZ,Online
15,asset-0015,Server,10.254.150.145,RHEL 9,Medium,Production,Maintenance
16,asset-0016,Workstation,10.49.148.176,Ubuntu 22.04,Low,Development,Offline
17,asset-0017,Router,10.146.230.86,Debian 12,High,Development,Offline
18,asset-0018,Load Balancer,10.239.110.140,Windows 11,Critical,Development,Maintenance
19,asset-0019,Server,10.4.171.100,RHEL 9,Medium,DMZ,Online
20,asset-0020,Load Balancer,10.212.183.183,CentOS 8,Low,Staging,Online
21,asset-0021,Server,10.52.58.242,Ubuntu 22.04,High,DMZ,Maintenance
22,asset-0022,Database Server,10.183.242.243,Amazon Linux 2,Low,Staging,Offline
23,asset-0023,Server,10.216.15.165,Alpine Linux,Critical,Development,Maintenance
24,asset-0024,Database Server,10.8.101.69,RHEL 9,Low,DMZ,Offline
25,asset-0025,Router,10.205.33.199,Debian 12,Low,Production,Offline
26,asset-0026,Load Balancer,10.146.105.181,Windows Server 2022,Low,Production,Offline
27,asset-0027,Workstation,10.130.12.211,Windows 11,High,Production,Online
28,asset-0028,API Gateway,10.224.222.248,Windows 11,High,Development,Maintenance
29,asset-0029,Router,10.225.102.106,FreeBSD 14,Low,Staging,Online
30,asset-0030,API Gateway,10.254.89.101,Alpine Linux,Medium,Development,Online
31,asset-0031,Workstation,10.91.143.250,Windows 11,High,Development,Maintenance
32,asset-0032,Load Balancer,10.199.44.250,FreeBSD 14,Critical,Staging,Offline
33,asset-0033,Web Server,10.206.171.114,Ubuntu 22.04,High,Production,Maintenance
34,asset-0034,Web Server,10.211.160.86,macOS Sonoma,Critical,Production,Online
35,asset-0035,Load Balancer,10.208.196.83,Windows Server 2022,Critical,Production,Maintenance
36,asset-0036,IoT Device,10.208.217.9,Alpine Linux,Critical,DMZ,Offline
37,asset-0037,Workstation,10.96.243.114,macOS Sonoma,Medium,Production,Offline
38,asset-0038,Database Server,10.203.247.111,FreeBSD 14,High,DMZ,Offline
39,asset-0039,API Gateway,10.97.176.140,FreeBSD 14,Low,Development,Maintenance
40,asset-0040,Workstation,10.8.14.180,Alpine Linux,Critical,Production,Online
41,asset-0041,IoT Device,10.196.58.192,FreeBSD 14,Low,Staging,Online
42,asset-0042,Load Balancer,10.69.110.19,FreeBSD 14,High,Production,Maintenance
43,asset-0043,Switch,10.138.5.212,RHEL 9,High,Staging,Offline
44,asset-0044,Switch,10.195.79.55,Alpine Linux,High,Production,Maintenance
45,asset-0045,API Gateway,10.127.132.6,Windows 11,Low,Staging,Maintenance
46,asset-0046,Firewall,10.214.241.84,Windows 11,Critical,Development,Maintenance
47,asset-0047,Load Balancer,10.197.223.29,FreeBSD 14,High,Staging,Online
48,asset-0048,IoT Device,10.123.242.97,Ubuntu 22.04,Critical,DMZ,Online
49,asset-0049,Web Server,10.161.102.208,Ubuntu 22.04,High,Staging,Offline
50,asset-0050,Server,10.153.108.231,RHEL 9,High,Staging,Offline
51,asset-0051,Server,10.1.231.123,Amazon Linux 2,Low,DMZ,Offline
52,asset-0052,Database Server,10.230.170.155,FreeBSD 14,Medium,Production,Online
53,asset-0053,IoT Device,10.129.53.93,FreeBSD 14,Low,Staging,Online
54,asset-0054,Database Server,10.0.173.3,Debian 12,High,Development,Online
55,asset-0055,Workstation,10.83.108.76,Windows Server 2022,Low,Production,Offline
56,asset-0056,Firewall,10.204.118.75,RHEL 9,Critical,DMZ,Online
57,asset-0057,Router,10.233.139.35,FreeBSD 14,Medium,Staging,Offline
58,asset-0058,Web Server,10.133.253.106,Debian 12,High,Development,Offline
59,asset-0059,Workstation,10.177.110.31,Windows 11,High,Development,Offline
60,asset-0060,IoT Device,10.41.102.224,Windows Server 2022,High,DMZ,Maintenance
61,asset-0061,IoT Device,10.42.121.133,Windows 11,Medium,Development,Online
62,asset-0062,IoT Device,10.101.49.164,Alpine Linux,Medium,Development,Offline
63,asset-0063,API Gateway,10.236.54.62,Windows 11,Critical,Development,Offline
64,asset-0064,API Gateway,10.127.98.175,Windows Server 2022,Low,DMZ,Maintenance
65,asset-0065,Router,10.173.183.230,Windows Server 2022,Medium,Staging,Maintenance
66,asset-0066,Switch,10.63.166.119,FreeBSD 14,Medium,DMZ,Maintenance
67,asset-0067,Firewall,10.117.75.176,RHEL 9,Low,Production,Maintenance
68,asset-0068,Server,10.216.155.228,Windows 11,Critical,Production,Maintenance
69,asset-0069,Web Server,10.92.94.223,FreeBSD 14,High,DMZ,Maintenance
70,asset-0070,Server,10.83.133.60,Amazon Linux 2,Critical,Production,Maintenance
71,asset-0071,Load Balancer,10.100.153.213,Windows 11,Critical,Production,Maintenance
72,asset-0072,Server,10.151.70.224,macOS Sonoma,Low,Production,Online
73,asset-0073,Switch,10.56.73.128,Windows Server 2022,Medium,Development,Offline
74,asset-0074,Switch,10.69.126.141,Ubuntu 22.04,Medium,Staging,Offline
75,asset-0075,Switch,10.99.176.221,CentOS 8,Low,Production,Online
76,asset-0076,Server,10.62.79.95,Alpine Linux,Critical,Staging,Maintenance
77,asset-0077,Router,10.26.252.135,macOS Sonoma,High,Production,Offline
78,asset-0078,Database Server,10.181.166.172,Ubuntu 22.04,Medium,Production,Offline
79,asset-0079,IoT Device,10.180.49.132,Ubuntu 22.04,High,Staging,Offline
80,asset-0080,Router,10.58.122.27,Debian 12,Medium,Production,Maintenance
81,asset-0081,Switch,10.106.124.112,macOS Sonoma,High,Production,Online
82,asset-0082,Database Server,10.37.188.79,Amazon Linux 2,Low,DMZ,Maintenance
83,asset-0083,Switch,10.175.183.14,macOS Sonoma,Low,DMZ,Maintenance
84,asset-0084,Switch,10.131.56.62,Debian 12,High,Development,Offline
85,asset-0085,Web Server,10.119.107.126,macOS Sonoma,High,Production,Maintenance
86,asset-0086,Router,10.62.73.112,CentOS 8,Critical,Staging,Online
87,asset-0087,IoT Device,10.213.224.79,Windows Server 2022,Low,Production,Online
88,asset-0088,Load Balancer,10.4.48.113,macOS Sonoma,High,Production,Maintenance
89,asset-0089,Router,10.182.39.51,Ubuntu 22.04,Medium,Staging,Offline
90,asset-0090,Server,10.17.18.190,FreeBSD 14,Critical,Production,Offline
91,asset-0091,Router,10.136.228.37,Amazon Linux 2,Critical,Development,Online
92,asset-0092,Workstation,10.181.168.233,Windows Server 2022,High,Staging,Offline
93,asset-0093,Firewall,10.215.156.49,macOS Sonoma,Medium,Staging,Offline
94,asset-0094,Router,10.162.172.102,FreeBSD 14,Low,Development,Offline
95,asset-0095,Router,10.53.75.228,Debian 12,High,Production,Offline
96,asset-0096,Web Server,10.84.174.193,Windows Server 2022,Low,Staging,Offline
97,asset-0097,Switch,10.42.164.174,Debian 12,High,Development,Maintenance
98,asset-0098,Web Server,10.225.53.35,macOS Sonoma,Critical,Development,Maintenance
99,asset-0099,IoT Device,10.21.193.113,FreeBSD 14,Critical,Staging,Online
100,asset-0100,Router,10.175.166.50,macOS Sonoma,Medium,Staging,Online
101,asset-0101,Web Server,10.60.161.57,Windows 11,Low,Staging,Offline
102,asset-0102,Database Server,10.107.36.143,Windows 11,Critical,Production,Offline
103,asset-0103,Switch,10.249.53.55,RHEL 9,Medium,Production,Offline
104,asset-0104,IoT Device,10.231.96.173,Windows Server 2022,High,Production,Online
105,asset-0105,IoT Device,10.56.6.50,Amazon Linux 2,Low,Staging,Offline
106,asset-0106,Server,10.1.84.79,macOS Sonoma,High,DMZ,Offline
107,asset-0107,Load Balancer,10.31.114.192,FreeBSD 14,Critical,DMZ,Maintenance
108,asset-0108,IoT Device,10.87.75.240,Windows Server 2022,Critical,Staging,Online
109,asset-0109,Switch,10.85.184.95,Windows Server 2022,Critical,Development,Online
110,asset-0110,Server,10.201.194.177,Debian 12,Critical,Development,Maintenance
111,asset-0111,Web Server,10.208.120.103,Debian 12,High,DMZ,Offline
112,asset-0112,API Gateway,10.65.60.112,Amazon Linux 2,Medium,DMZ,Online
113,asset-0113,API Gateway,10.21.27.218,Windows 11,Low,Staging,Offline
114,asset-0114,Load Balancer,10.160.118.181,Amazon Linux 2,High,Staging,Maintenance
115,asset-0115,Switch,10.221.190.129,macOS Sonoma,Critical,Development,Online
116,asset-0116,Server,10.141.21.106,RHEL 9,Low,DMZ,Online
117,asset-0117,Web Server,10.62.80.222,FreeBSD 14,Critical,Staging,Offline
118,asset-0118,Server,10.116.218.12,macOS Sonoma,Medium,Development,Offline
119,asset-0119,Router,10.169.198.239,Debian 12,High,Staging,Maintenance
120,asset-0120,API Gateway,10.172.208.15,Debian 12,Medium,Staging,Maintenance
121,asset-0121,Database Server,10.85.98.230,Windows Server 2022,Critical,Staging,Online
122,asset-0122,Server,10.14.77.12,macOS Sonoma,Critical,Development,Offline
123,asset-0123,Database Server,10.151.178.99,Windows Server 2022,Medium,DMZ,Offline
124,asset-0124,Server,10.227.152.167,macOS Sonoma,Critical,DMZ,Maintenance
125,asset-0125,Database Server,10.68.76.143,FreeBSD 14,Critical,Production,Online
126,asset-0126,IoT Device,10.179.163.169,CentOS 8,Low,Production,Maintenance
127,asset-0127,Router,10.225.243.140,Amazon Linux 2,High,DMZ,Online
128,asset-0128,Router,10.104.185.164,Windows 11,Low,Production,Offline
129,asset-0129,Server,10.14.85.238,Ubuntu 22.04,Medium,Development,Online
130,asset-0130,Database Server,10.231.45.221,Alpine Linux,High,Development,Online
131,asset-0131,Database Server,10.245.30.32,Ubuntu 22.04,High,Development,Offline
132,asset-0132,Web Server,10.87.220.216,FreeBSD 14,Low,Development,Maintenance
133,asset-0133,Router,10.221.175.186,Windows 11,Low,DMZ,Maintenance
134,asset-0134,Load Balancer,10.146.16.110,Windows Server 2022,Low,Development,Online
135,asset-0135,Switch,10.218.69.163,Windows 11,Low,Production,Online
136,asset-0136,Database Server,10.197.176.159,FreeBSD 14,Medium,Staging,Online
137,asset-0137,Web Server,10.10.51.89,FreeBSD 14,Low,DMZ,Maintenance
138,asset-0138,IoT Device,10.206.209.25,Ubuntu 22.04,High,Staging,Offline
139,asset-0139,Router,10.178.141.128,RHEL 9,Critical,Development,Maintenance
140,asset-0140,Server,10.108.60.102,FreeBSD 14,High,Development,Offline
141,asset-0141,Workstation,10.42.13.69,Windows 11,High,Production,Online
