vuln_id,cve_id,vuln_type,severity,cvss_score,exploit_available
1,CVE-2023-16494,Information Disclosure,High,2.1,No
2,CVE-2025-7081,Cryptographic Failure,High,0.2,Yes
3,CVE-2025-7031,Security Misconfiguration,Medium,4.5,Yes
4,CVE-2020-25015,Remote Code Execution,Medium,6.1,No
5,CVE-2024-34989,Broken Access Control,Low,7.9,No
6,CVE-2024-90510,Insecure Deserialization,Medium,6.4,No
7,CVE-2024-10099,SSRF,High,0.1,No
8,CVE-2025-43901,Information Disclosure,Informational,2.0,No
9,CVE-2025-98354,CSRF,Medium,5.8,No
10,CVE-2021-6676,XSS,Critical,9.0,No
11,CVE-2022-33107,SQL Injection,Medium,4.1,No
12,CVE-2025-41139,Remote Code Execution,Informational,6.4,No
13,CVE-2021-36026,CSRF,Medium,4.0,No
14,CVE-2024-10431,Privilege Escalation,Critical,6.2,No
15,CVE-2024-7646,Information Disclosure,Low,2.4,Yes
16,CVE-2021-60244,Information Disclosure,Medium,9.3,Yes
17,CVE-2020-83340,Broken Access Control,Low,8.5,No
18,CVE-2025-76468,DoS,Medium,2.3,Yes
19,CVE-2022-31328,SQL Injection,High,9.9,No
20,CVE-2023-24211,XSS,High,4.4,Yes
21,CVE-2025-68699,Security Misconfiguration,High,2.4,Yes
22,CVE-2020-63492,SQL Injection,Informational,3.6,No
23,CVE-2025-61501,Information Disclosure,High,0.9,No
24,CVE-2025-40384,SQL Injection,Medium,3.4,No
25,CVE-2021-2474,Privilege Escalation,Informational,2.9,No
26,CVE-2022-2229,DoS,Medium,6.9,Yes
27,CVE-2025-14761,Authentication Bypass,High,8.0,No
28,CVE-2022-11331,Insecure Deserialization,Medium,8.4,No
29,CVE-2025-70299,SQL Injection,Medium,5.5,No
30,CVE-2023-5537,DoS,Low,7.2,No
31,CVE-2020-87769,Authentication Bypass,Medium,6.6,Yes
32,CVE-2022-95356,CSRF,Medium,0.7,Yes
33,CVE-2022-43612,DoS,High,9.2,Yes
34,CVE-2020-58543,Authentication Bypass,High,5.2,No
35,CVE-2024-68642,DoS,Low,7.2,Yes
36,CVE-2025-67083,CSRF,High,9.4,Yes
37,CVE-2021-93062,XSS,Medium,3.2,Yes
38,CVE-2021-22404,XSS,Medium,4.5,No
39,CVE-2021-4170,DoS,Low,3.2,Yes
40,CVE-2021-21596,DoS,High,5.4,No
41,CVE-2020-72767,SQL Injection,Medium,4.3,No
